#,Topic,Question,Sources,Tiers,Keep (Y/N),Source 1,URL 1,Source 2,URL 2,Other wordings seen
74,8. Accommodation & living,Where do you plan to live while studying at University of Kent?,1,primary,,University of Kent — Credibility Interviews,https://www.kent.ac.uk/international/credibility-interviews,,,
75,8. Accommodation & living,Where will you live and how far will this be from campus?,1,primary,,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,,,
76,8. Accommodation & living,How will you travel to campus each day and the bus routes?,1,primary,,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,,,
77,8. Accommodation & living,Have you found accommodation? Do you know the costs of accommodation in London?,1,primary,,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,,,
78,8. Accommodation & living,"Where will you live in London, how far is it from the campus you will study on, and why do you want to live there?",1,primary,,University of Westminster — Credibility interviews,https://www.westminster.ac.uk/international/visas-and-advice/visas/student-visa/credibility-interviews,,,
79,8. Accommodation & living,How will you travel from your accommodation to the University?,1,primary,,University of Westminster — Credibility interviews,https://www.westminster.ac.uk/international/visas-and-advice/visas/student-visa/credibility-interviews,,,
80,8. Accommodation & living,How much will your accommodation cost and are you clear about the cost of living in the UK?,1,primary,,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,,,
81,8. Accommodation & living,Where do you intend to live while you are in the UK?,1,primary,,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,,,
82,8. Accommodation & living,Have you already arranged accommodation?,1,primary,,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,,,
83,8. Accommodation & living,What do you know about the city of Bradford?,1,primary,,University of Bradford — Credibility checks: Student visas,https://www.bradford.ac.uk/international/support/visa-support/student-visas/credibility-checks/,,,
84,8. Accommodation & living,"Have you carried out research on accommodation costs, location, availability?",1,primary,,University of Bradford — Credibility checks: Student visas,https://www.bradford.ac.uk/international/support/visa-support/student-visas/credibility-checks/,,,
85,8. Accommodation & living,Where is your university located?,1,agent,,Meridean Overseas Education Consultants — Pre-CAS Interview Preparation,https://www.meridean.org/blog/pre-cas-interview,,,
86,8. Accommodation & living,Have you looked into housing costs?,1,agent,,Edwise Foundation (Nepal) — Pre-CAS Interview for Nepali Students,https://edwisefoundation.com/pre-cas-interview-nepali-students/,,,
87,8. Accommodation & living,Where will you be staying during your studies in the UK?,1,agent,,NWC Education (Nepal) — Pre-CAS Interview Guide for Nepali Students,https://nwc.education/pre-cas-interview-questions-preparation-for-nepali/,,,
88,8. Accommodation & living,What are the estimated monthly living costs in your study city?,1,agent,,NWC Education (Nepal) — Pre-CAS Interview Guide for Nepali Students,https://nwc.education/pre-cas-interview-questions-preparation-for-nepali/,,,
89,8. Accommodation & living,Why are you interested in the specific city where you'll study?,1,agent,,NWC Education (Nepal) — Pre-CAS Interview Guide for Nepali Students,https://nwc.education/pre-cas-interview-questions-preparation-for-nepali/,,,
90,8. Accommodation & living,"Where is the university campus located, and what do you know about the city?",1,agent,,Optimus Global Education — UK Pre-CAS Interview 2026,https://www.optimusglobaledu.com/blogs/uk-pre-cas-interview-guide-2026,,,
